Country Name,GDP,GDP Per Capita,Air Pollution,Population Density,Unemployment Rate,Social Support
Afghanistan,18833227887.0,536.23,100.0,53.94,10.341,0.522
Albania,12856050812.0,4473.89,100.0,104.9,14.633,0.65
Algeria,167755329274.0,4117.84,100.0,17.1,10.54,0.785
Angola,70956376358.0,2395.27,100.0,23.82,9.557,
Argentina,580182474388.0,13246.88,95.34,16.01,8.301,0.904
Armenia,11271218297.0,3945.0,100.0,100.39,12.689,0.736
Australia,1327969311851.0,54431.7,25.28,3.17,5.663,0.946
Austria,412515206876.0,47099.78,87.18,106.09,5.52,0.918
Azerbaijan,44730590779.0,4567.05,100.0,118.56,4.965,0.783
"Bahamas, The",12082700000.0,30398.36,100.0,39.7,11.125,
Bahrain,34140348404.0,23857.1,100.0,1834.97,1.183,0.864
Bangladesh,268862224090.0,1668.75,100.0,1235.1,4.368,0.667
Barbados,4909093763.0,17600.51,100.0,648.61,8.748,
Belarus,54733730013.0,5788.11,99.98,46.59,5.522,0.914
Belgium,496115529938.0,43691.1,92.95,374.9,7.338,0.916
Belize,2267500000.0,6112.84,100.0,16.26,7.249,
Benin,12543322694.0,1095.3,100.0,101.39,1.743,0.467
Bhutan,2264950558.0,3006.65,100.0,19.74,2.908,0.848
Bolivia,36184403636.0,3185.04,100.0,10.48,3.445,0.808
Bosnia and Herzegovina,18082925764.0,5230.94,99.97,67.6,23.008,0.769
Botswana,15437621394.0,6483.61,100.0,4.2,19.514,0.787
Brazil,1894588415636.0,9120.42,70.34,24.85,11.423,0.901
Brunei Darussalam,12506526808.0,29217.87,0.0,81.21,8.536,
Bulgaria,57639559686.0,8123.43,99.92,65.42,7.02,0.925
Burkina Faso,13665636049.0,697.08,100.0,71.47,4.51,0.73
Burundi,2784815121.0,252.03,100.0,431.07,1.244,0.485
Cabo Verde,1950372169.0,3469.14,100.0,139.37,12.056,
Cambodia,21203914080.0,1346.52,100.0,89.08,0.348,0.759
Cameroon,35524239795.0,1474.92,100.0,50.87,3.581,0.669
Canada,1614766785201.0,44397.24,0.24,4.06,6.52,0.93
Central African Republic,1953543244.0,393.67,100.0,7.95,5.736,0.305
Chad,10571933158.0,712.39,100.0,11.8,1.112,0.651
Chile,265890736253.0,14549.22,97.94,24.55,6.845,0.86
China,12125071470064.0,8708.32,100.0,148.23,4.498,0.774
Colombia,305569390938.0,6349.23,93.73,43.35,8.743,0.888
Comoros,1061275575.0,1406.53,100.0,404.95,8.08,0.621
"Congo, Dem. Rep.",40159995715.0,483.85,100.0,36.55,4.457,0.767
"Congo, Rep.",11718615473.0,2229.74,100.0,15.38,20.592,0.633
Costa Rica,59556287499.0,11982.76,99.8,97.31,8.313,0.894
Cote d'Ivoire,51314396995.0,2087.41,100.0,77.16,2.676,0.651
Croatia,55100273092.0,13296.77,99.85,74.11,12.23,0.812
Cuba,93851000000.0,8278.73,100.0,109.07,1.95,
Cyprus,22374901437.0,26079.81,100.0,130.21,11.82,0.8
Czechia,212983650179.0,20116.4,99.73,137.08,3.533,0.918
Denmark,326187820094.0,56780.22,63.06,143.56,5.808,0.956
Djibouti,2676348770.0,2591.66,100.0,44.51,26.186,
Dominica,548322222.0,7797.09,100.0,93.77,,
Dominican Republic,78105727765.0,7372.67,99.94,219.14,6.645,0.886
Ecuador,102771486750.0,6194.36,98.79,66.79,3.898,0.85
Egypt,293189924719.0,2918.29,100.0,101.22,11.781,0.734
El Salvador,24657427500.0,3940.93,100.0,301.94,4.205,0.809
Equatorial Guinea,12431057935.0,8738.47,100.0,50.79,8.224,
Eritrea,,,100.0,27.97,5.777,
Estonia,26128174167.0,19825.25,0.0,30.57,6.128,0.931
Eswatini,4237208036.0,3692.2,100.0,66.69,22.881,0.779
Ethiopia,76231539501.0,712.5,100.0,94.61,2.816,0.705
Fiji,5136897093.0,5593.05,92.16,50.27,4.296,
Finland,251665428842.0,45753.92,0.0,18.1,8.55,0.957
France,2574565227924.0,38513.59,82.3,122.06,9.708,0.908
French Polynesia,5697837943.0,19334.5,,84.87,12.057,
Gabon,15050952978.0,7120.81,100.0,8.2,20.687,0.782
Gambia,1509584073.0,641.92,100.0,232.13,5.485,0.691
Georgia,15983711079.0,4288.8,100.0,65.2,14.93,0.565
Germany,3623182922709.0,43957.81,91.43,235.94,3.968,0.911
Ghana,58318945387.0,1947.61,100.0,131.32,4.679,0.668
Greece,200181381711.0,18586.73,100.0,83.56,22.305,0.796
Grenada,1087712037.0,9028.18,100.0,354.19,,
Guam,5942250000.0,35285.23,88.89,311.86,5.819,
Guatemala,68305398473.0,4276.92,100.0,148.91,2.458,0.825
Guinea,9892964158.0,816.2,100.0,49.19,4.906,0.63
Guinea-Bissau,1270510448.0,682.13,100.0,66.04,3.164,0.63
Guyana,4574587217.0,5972.42,99.99,3.89,13.626,
Haiti,15104032151.0,1399.46,100.0,391.45,13.82,0.583
Honduras,22475348695.0,2353.44,99.99,85.3,6.008,0.804
Hong Kong,333312575174.0,45216.09,,7017.55,3.158,0.832
Hungary,139365457190.0,14217.05,100.0,107.44,4.948,0.878
Iceland,22324878577.0,65350.49,11.12,3.39,3.1,0.977
India,2438197285076.0,1809.2,100.0,452.77,7.785,0.617
Indonesia,962655468468.0,3655.96,95.8,140.15,4.245,0.802
Iran,420174593657.0,5019.15,100.0,51.55,12.053,0.632
Iraq,186990430686.0,4762.2,100.0,90.22,12.159,0.7
Ireland,328245118747.0,68542.81,1.09,69.43,7.683,0.948
Israel,340113505308.0,39354.66,100.0,398.82,4.568,0.895
Italy,1941859505579.0,32058.0,95.36,204.85,11.353,0.917
Jamaica,14701455172.0,5241.97,100.0,258.94,7.586,0.913
Japan,4855081646996.0,38230.32,80.28,348.42,2.953,0.898
Jordan,40864716408.0,4071.8,100.0,113.02,16.185,0.816
Kazakhstan,166953122749.0,9321.45,89.07,6.64,4.91,0.927
Kenya,79793770415.0,1645.13,100.0,85.06,3.325,0.726
"Korea, Dem. People's Rep.",,,100.0,211.37,2.871,
"Korea, Rep.",1578657988562.0,30768.72,100.0,526.15,3.668,0.796
