Country_Name,Location
Latvia,New Williamtown
South Africa,North Rachel
French Guiana,West Williamland
Vietnam,South David
Moldova,New Scottburgh
Saint Helena,South Nathan
Tuvalu,Port Richardfurt
Australia,Adambury
Qatar,Williamsonberg
Chad,North Thomas
Fiji,West Jillton
Guernsey,Robertville
Egypt,Camposfort
Rwanda,Hughesville
Samoa,Adammouth
Mongolia,East Ricardomouth
Equatorial Guinea,Port Robertborough
Libyan Arab Jamahiriya,South Natalieshire
Libyan Arab Jamahiriya,Zacharyborough
Mali,Bakerburgh
Cocos (Keeling) Islands,Devinchester
Bahrain,Thompsonburgh
French Southern Territories,East Darlene
Iceland,North Ericchester
Bahrain,West Annaview
Tajikistan,Bartonhaven
Norfolk Island,Lake David
Libyan Arab Jamahiriya,Angelicaview
Bosnia and Herzegovina,Alexischester
Reunion,Williambury
Ethiopia,Amandaville
Spain,Lake Glennmouth
Italy,Wagnerbury
Andorra,Christopherside
Gibraltar,Hoffmanborough
Monaco,Gordonfort
Comoros,New Bobhaven
British Indian Ocean Territory (Chagos Archipelago),West Jeffrey
Czech Republic,Duncanmouth
Iran,Fieldsside
Antigua and Barbuda,Emmafort
Seychelles,East Davidshire
Slovenia,Port Austinchester
Gabon,North Bryan
India,Stewartbury
Chad,North Ryan
Congo,West Micheleland
Tunisia,Lisaview
Reunion,Reynoldsberg
Norfolk Island,Wandamouth
Costa Rica,Port Leah
Cuba,Anthonyside
Grenada,North Brian
Suriname,Butlerburgh
Brunei Darussalam,South Jennifer
Bahrain,Cameronview
United States of America,Garciatown
Israel,Adrianshire
Georgia,New Dianechester
Cape Verde,Russellfort
Ukraine,Johnnyburgh
Colombia,Charlesview
Guyana,East Shawnchester
Estonia,Tylertown
Cambodia,Lake Michael
Maldives,Bensonview
Greece,Port Robert
Kenya,Nathanstad
Marshall Islands,South Wayne
Korea,West Roberthaven
Dominica,West Susanmouth
China,East Melissaville
Trinidad and Tobago,West Jamiechester
Northern Mariana Islands,Courtneyberg
Svalbard & Jan Mayen Islands,Lake Justin
Czech Republic,New Sandrafurt
Costa Rica,New Christianbury
Vietnam,Whiteview
Denmark,South Sylvia
Svalbard & Jan Mayen Islands,Adamberg
Pitcairn Islands,Martinfort
Mongolia,New Jamestown
Uganda,New Katrina
Iraq,Grossstad
Ecuador,Gordonport
Turks and Caicos Islands,Holmesport
Barbados,South Larryland
Peru,South Thomas
United Arab Emirates,Lake Shawna
Antarctica (the territory South of 60 deg S),Josephport
Algeria,East Brandonchester
Moldova,Harperchester
Vietnam,East Angela
Lesotho,Richardchester
Fiji,Millsstad
Liechtenstein,Erikborough
Afghanistan,Port Donald
Bolivia,Lake Robertview
Singapore,West Michaelbury
United States Minor Outlying Islands,Port Carriefurt
Netherlands,Thomasberg
French Polynesia,West Anthony
Bulgaria,West Karenmouth
Central African Republic,Keithmouth
Finland,South Brittanyview
Bhutan,North Victoriamouth
Jordan,East Jessicaport
Bolivia,Charlesland
Montenegro,East Erin
Uganda,South Amy
Saint Lucia,Hernandezview
Marshall Islands,Lorihaven
Holy See (Vatican City State),Lesterfort
French Guiana,Wellsville
Trinidad and Tobago,Garciafurt
Greece,Gregoryville
Belize,South Diana
Kuwait,North Adamland
Philippines,Port Brent
New Zealand,New Tonyfort
Sweden,Lake Amberhaven
Botswana,West Lisaville
Botswana,Mendezton
Malawi,Turnerville
Israel,Hutchinsonburgh
Cameroon,North Elizabeth
Israel,Lawsonmouth
Romania,New Sandra
Costa Rica,Jasonmouth
Tajikistan,Scottland
Bermuda,North Kristopherland
Latvia,Rachelburgh
Guam,Donnaland
Belize,New Julie
Jersey,Hartburgh
Dominica,Port Kevin
New Caledonia,Hortonhaven
Algeria,Leslieberg
San Marino,West Nancyburgh
Saint Kitts and Nevis,Lake James
Trinidad and Tobago,North Daniel
Uzbekistan,Lisabury
Korea,Lake Jacquelineton
Zimbabwe,New Miguel
Burkina Faso,South Jamie
Norway,East Toni
Saint Helena,Port Jessica
Guyana,West Pattyville
Slovakia (Slovak Republic),North Brian
Cape Verde,Lake Stephaniebury
North Macedonia,North Angelicaport
Seychelles,Randallfurt
Norway,Sonyachester
India,Port Jesus
Uganda,North Codyhaven
Turkmenistan,Francishaven
Indonesia,Lake Eric
Russian Federation,Lake Jon
Slovenia,Lake Donaldland
Argentina,Johnsonton
Sao Tome and Principe,New Kathleen
Philippines,Lake Kimberly
Singapore,Joelfurt
Niue,Austinton
Bulgaria,Lake Susanfort
Sweden,Lake Travisbury
Spain,North Jennifer
Cook Islands,South Eric
Norfolk Island,South Charles
Moldova,Lake Thomasfort
Reunion,Port Raymond
Niger,West Victoriafurt
Afghanistan,Kaylaberg
Qatar,New Dianeberg
Burkina Faso,Villarrealstad
Serbia,Amandafort
Turkmenistan,South Sarahfort
Sri Lanka,New Michele
Panama,East Jasonside
United Kingdom,Kellertown
Bhutan,East Nicholas
Honduras,Port Brookeburgh
Djibouti,South Lisaside
Timor-Leste,Sarahberg
Guam,West Morgan
Nauru,Williamsmouth
Brunei Darussalam,Lake Stephanie
United States Minor Outlying Islands,New Andrew
Turkmenistan,Port Rachelborough
Iraq,Port Scott
Taiwan,Thompsonshire
Finland,Stevenfort
Moldova,South Eileen
Swaziland,Lake Eric
Uzbekistan,North Nicolechester
Italy,South Ronaldborough
Lebanon,Jennaview
Botswana,Port Andrewhaven
Swaziland,Bryanview
Turks and Caicos Islands,East Larry
Hungary,Nancychester
Cocos (Keeling) Islands,Port Michael
Slovenia,Powellshire
Korea,New Scottchester
Solomon Islands,Andreamouth
Niue,East Meghan
Myanmar,Lake Jameschester
Guinea,Port Patrick
Ecuador,New Monicamouth
Bangladesh,Costastad
Saint Pierre and Miquelon,Lake Colin
Denmark,New Jessicashire
Congo,Loriport
Azerbaijan,Johnsview
South Africa,Jessicatown
Lithuania,East Natalie
Kuwait,Justintown
Algeria,Cuevasfort
Guinea,North Angelabury
Togo,Riverahaven
Equatorial Guinea,Kristinafort
Greece,South Alanport
Spain,Jimenezport
Kuwait,Martinezfurt
Northern Mariana Islands,East Keith
Cape Verde,Lake Dylan
Saint Kitts and Nevis,South Helenberg
Honduras,Heiditown
Kenya,Justinview
Bolivia,West Matthew
Philippines,Johnshire
United Kingdom,East Crystalmouth
Benin,Tuckershire
Puerto Rico,Jerryview
Cambodia,Heatherville
Senegal,East Robert
Mozambique,Bobbyborough
Madagascar,Reneeland
Jersey,Abigailfurt
Congo,Lake Michael
Micronesia,Jonesshire
French Southern Territories,Shelleychester
Nicaragua,New Nicholasfurt
Cape Verde,Sanchezton
Liechtenstein,Robertmouth
Botswana,Karinachester
Cape Verde,Kennethburgh
Comoros,New Desiree
Iraq,Jonesview
Guatemala,East Tiffany
Qatar,Brownborough
Andorra,Steventown
Cayman Islands,West Stanleyfurt
Pitcairn Islands,North Teresachester
Ghana,New Robertborough
Martinique,East Jessica
Liechtenstein,West Robertshire
Mayotte,Nathanville
Burkina Faso,North Kelseyberg
Uruguay,South Robertmouth
Austria,New Sarastad
Samoa,West Brandon
Niger,Johnsonbury
Comoros,Port Kevinberg
Uzbekistan,West Richard
Colombia,West Rachel
Libyan Arab Jamahiriya,East Megan
Kuwait,East Marystad
South Georgia and the South Sandwich Islands,Jacobhaven
Korea,New Meganport
Uruguay,Brandychester
Bhutan,Schultzport
Peru,West Michelle
South Georgia and the South Sandwich Islands,Walkerchester
Serbia,Diazmouth
Swaziland,Sophiamouth
Malta,Gardnerland
Tajikistan,Valdezborough
Anguilla,Lake Rachel
New Zealand,West Robert
Iran,West Mark
Bosnia and Herzegovina,Vaughnbury
Tokelau,East Kerriside
Zimbabwe,South Kelly
American Samoa,North Kylefort
Saint Vincent and the Grenadines,Taylorhaven
Slovenia,Adrianport
Cook Islands,Jayville
Solomon Islands,Harperport
Tuvalu,East Hannahland
Lebanon,Andersonside
Saint Barthelemy,Silvaland
Solomon Islands,New Nicholaschester
Cayman Islands,New Morgan
Eritrea,Lake Willieton
Philippines,North Codyfort
Moldova,Lake Aaronside
Togo,Jayville
Kuwait,Danielleside
United Arab Emirates,Townsendstad
Albania,Montgomeryhaven
Mali,South Amanda
Montserrat,West Jordan
Egypt,Baldwinstad
Namibia,North Ashleyburgh
France,Holtchester
Trinidad and Tobago,South Aliciaton
Spain,Aguilarside
China,North Staceystad
Uzbekistan,Torresfort
Ecuador,Lake Shirley
Ecuador,New Megan
Norway,Katieview
Burkina Faso,North Virginiafort
French Southern Territories,Aaronton
Slovenia,Alyssaside
Eritrea,West Whitneyberg
Georgia,Romeroshire
Brunei Darussalam,Port Lauren
Panama,Englishborough
Honduras,Jeffreymouth
Mauritius,Duffyburgh
Kiribati,East James
Cote d'Ivoire,East Sandyside
Georgia,Port Danielhaven
Western Sahara,Silvaburgh
Taiwan,East Christy
Cayman Islands,Port Noah
Monaco,New Deborahfurt
El Salvador,South Mistyburgh
Lesotho,Port Jasonburgh
Morocco,Bryantside
Bosnia and Herzegovina,Sarahside
Solomon Islands,Baileymouth
