Country name,Year,Reconstruction costs from drought,Insured damages against drought,Total economic damages from drought,Death rates from drought,Injury rates from drought,Homelessness rate from drought,Reconstruction costs from earthquakes,Insured damages against earthquakes,Total economic damages from earthquakes,Death rates from earthquakes,Injury rates from earthquakes,Homelessness rate from earthquakes,Reconstruction costs from disasters,Insured damages against disasters,Total economic damages from disasters,Death rates from disasters,Injury rates from disasters,Homelessness rate from disasters,Reconstruction costs from volcanic activity,Insured damages against volcanic activity,Total economic damages from volcanic activity,Death rates from volcanic activity,Injury rates from volcanic activity,Homelessness rate from volcanic activity,Reconstruction costs from floods,Insured damages against floods,Total economic damages from floods,Death rates from floods,Injury rates from floods,Homelessness rate from floods,Reconstruction costs from mass movements,Insured damages against mass movements,Total economic damages from mass movements,Death rates from mass movements,Injury rates from mass movements,Homelessness rate from mass movements,Reconstruction costs from storms,Insured damages against storms,Total economic damages from storms,Death rates from storms,Injury rates from storms,Homelessness rate from storms,Reconstruction costs from landslides,Insured damages against landslides,Total economic damages from landslides,Death rates from landslides,Injury rates from landslides,Homelessness rate from landslides,Reconstruction costs from fog,Insured damages against fog,Total economic damages from fog,Death rates from fog,Injury rates from fog,Homelessness rate from fog,Reconstruction costs from wildfires,Insured damages against wildfires,Total economic damages from wildfires,Death rates from wildfires,Injury rates from wildfires,Homelessness rate from wildfires,Reconstruction costs from extreme temperatures,Insured damages against extreme temperatures,Total economic damages from extreme temperatures,Death rates from extreme temperatures,Injury rates from extreme temperatures,Homelessness rate from extreme temperatures,Reconstruction costs from glacial lake outbursts,Insured damages against glacial lake outbursts,Total economic damages from glacial lake outbursts,Death rates from glacial lake outbursts,Injury rates from glacial lake outbursts,Homelessness rate from glacial lake outbursts,Total economic damages from disasters as a share of GDP,Total economic damages from drought as a share of GDP,Total economic damages from earthquakes as a share of GDP,Total economic damages from extreme temperatures as a share of GDP,Total economic damages from floods as a share of GDP,Total economic damages from landslides as a share of GDP,Total economic damages from mass movements as a share of GDP,Total economic damages from storms as a share of GDP,Total economic damages from volcanic activity as a share of GDP,Total economic damages from volcanic activity as a share of GDP.1,total_damages_pct_gdp_glacial_lake
Afghanistan,2020,,,,,,,,,,,,,0,0,0,0.8416248,0.6440482,22.13114,,,,,,,0.0,0.0,0.0,0.7518173,0.5157518,21.489658,,,,,,,0.0,0.0,0.0,0.03335708,0.10263717,0.0,0.0,0.0,0.0,0.05645044,0.025659293,0.6414823,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,
Afghanistan,2021,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0.9875445,0.08229537,0.0,,,,,,,0.0,0.0,0.0,0.9376685,0.08229537,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.049875982,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,
Afghanistan,2022,,,,,,,0.0,0.0,0.0,2.5869968,7.277144,9.725552,0,0,0,3.2459028,8.052757,44.98068,,,,,,,0.0,0.0,0.0,0.61270976,0.7756128,35.255127,,,,,,,,,,,,,0.0,0.0,0.0,0.04619637,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,2023,,,,,,,0.0,0.0,0.0,0.011837161,0.18939458,0.0,0,0,0,0.36931944,0.5800209,0.0,,,,,,,0.0,0.0,0.0,0.19176202,0.059185807,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.16572027,0.33144054,0.0,,,,,,,,,,,,,,,,,
Africa,2020,0.0,0.0,1243000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1707000000,0.09855385,0.114354804,49.74713,,,,,,,0.0,0.0,464000000.0,0.09451175,0.114354804,49.74713,,,,,,,0.0,0.0,0.0,0.0024252625,0.0,0.0,0.0,0.0,0.0,0.0016168416,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2021,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,75000000,0.039966226,0.085887924,1.96796,0.0,0.0,0.0,0.0022960848,0.0,0.12484961,0.0,0.0,75000000.0,0.026476728,0.0718244,1.8431103,,,,,,,0.0,0.0,0.0,0.004735675,0.013848262,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0064577386,0.00021525795,0.0,,,,,,,,,,,,,,,,,,,,,,,
Africa,2022,0.0,0.0,640000000.0,0.1727719,0.0,0.0,,,,,,,0,1800000000,8556000000,0.3574591,0.33552092,0.7578834,,,,,,,0.0,1800000000.0,7900000000.0,0.15202525,0.28014982,0.64223486,,,,,,,0.0,0.0,16000000.0,0.026914569,0.03742807,0.10513503,0.0,0.0,0.0,0.0026634207,0.00042054013,0.010513503,,,,,,,0.0,0.0,0.0,0.0030839609,0.017522505,0.0,,,,,,,,,,,,,,,,,,,,,,,
Africa,2023,,,,,,,,,,,,,100000000,0,30000000,0.302229,0.14118627,0.011913875,,,,,,,100000000.0,0.0,10000000.0,0.23423773,0.10325358,0.0016432931,,,,,,,0.0,0.0,20000000.0,0.06436231,0.03615245,0.010270582,0.0,0.0,0.0,0.0013009403,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0023279984,0.0017802342,0.0,,,,,,,,,,,,,,,,,,,,,,,
Albania,2021,,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,
Albania,2022,,,,,,,,,,,,,0,0,0,12.384258,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,12.384258,0.0,0.0,,,,,,,,,,,,,,,,,
