Country_Name,Location
Tokelau,South Randyhaven
Taiwan,Callahanside
Greenland,Lake Calebchester
Senegal,New Paul
Serbia,Andreton
Nepal,West Carlos
Malta,Port Margaret
Liberia,North Paul
Norway,Lukebury
United States of America,Moralesberg
Kyrgyz Republic,North Jessica
Macao,East Melissamouth
Kenya,Lake Ryanmouth
Tanzania,Anthonymouth
Spain,Thompsonview
Gabon,Browningtown
Saint Pierre and Miquelon,Patelstad
Reunion,New Kyleburgh
Montenegro,Michelleport
Spain,New Eric
Libyan Arab Jamahiriya,Webbport
Switzerland,East Josephberg
Malta,New Dominiqueberg
Iceland,North Paultown
Germany,East Michaelport
Guadeloupe,East Amyborough
Nicaragua,New Bruce
Russian Federation,Woodton
Chile,Port Ryan
Uganda,Lake Sydney
Malaysia,Cherryfort
Bermuda,Crossland
Cote d'Ivoire,Nixonburgh
Kenya,Jonesfort
Suriname,Rodriguezview
Kazakhstan,North Jeffrey
Christmas Island,Michaelport
Chad,East Kyle
Mexico,New Pamela
Myanmar,East Sandrachester
Jersey,Gomezborough
French Guiana,Tonyberg
Kiribati,West Michaelshire
Saint Helena,Morrisonbury
Canada,South Christopher
Vietnam,South Kelly
Ecuador,Port Jose
Slovenia,South Masonville
Saint Martin,Lake Gilbert
Samoa,Barnesberg
Anguilla,South Travisbury
Jersey,East Alexischester
Djibouti,Rachelfort
Malaysia,Yatesview
Burundi,Adamsland
Angola,Port Alan
Netherlands,Port Tylerstad
Falkland Islands (Malvinas),Phillipsfort
Maldives,East Shelbytown
Iceland,North Troytown
Uganda,Heathstad
Denmark,Ericksonburgh
Malaysia,Bondmouth
Poland,Wolfhaven
Bahamas,South Erinland
Pakistan,Atkinsfurt
Macao,New Michael
Chad,West Christopher
Angola,Wandatown
Uruguay,Lake Aaronmouth
Iceland,Beckertown
Algeria,North Marioburgh
United Kingdom,South Natasha
Lesotho,Martinezland
Congo,Hodgesside
Uganda,Tonishire
Sao Tome and Principe,Gilestown
Kenya,West Harryborough
Armenia,Brooksmouth
Vietnam,Kathrynton
United States of America,Port Rhonda
Brazil,Lisachester
Malawi,Robertsonton
Palestinian Territory,Port David
United States of America,Whitechester
Tanzania,Traciborough
Saint Pierre and Miquelon,North Jaclynborough
Cape Verde,West Brian
Lesotho,West Tonya
Vanuatu,Coxhaven
Finland,Port Amanda
British Indian Ocean Territory (Chagos Archipelago),New Jose
Azerbaijan,South Jessica
British Indian Ocean Territory (Chagos Archipelago),Bryanchester
Vietnam,Davidfurt
Niue,East Alexishaven
Mayotte,North David
Gambia,Elizabethmouth
Sri Lanka,Kimberlychester
Ethiopia,Peterstad
Anguilla,Whiteheadbury
Cambodia,Port Jamestown
Angola,New Dennisville
Norway,Victorland
Costa Rica,Sarahport
Luxembourg,Floreston
Pitcairn Islands,Victoriamouth
Gambia,West David
Botswana,South Margaret
Myanmar,Cainstad
North Macedonia,South Catherine
Kyrgyz Republic,Gentrymouth
Guadeloupe,Cruzside
Brunei Darussalam,Nathanmouth
Georgia,Port Jesseshire
Switzerland,Trujillostad
Chad,Francoville
Egypt,Nguyenburgh
Hungary,Heatherfurt
Mozambique,South Jessicashire
Bulgaria,North Bradley
San Marino,New Ralph
Uzbekistan,South Amybury
Namibia,Colemanshire
Jamaica,East Melissa
Tanzania,Lake James
Slovakia (Slovak Republic),East Kevinshire
Wallis and Futuna,West Noahside
Andorra,New Kendrahaven
United Kingdom,Lake Michael
Nepal,Landryton
Moldova,Port Amberfort
Burundi,Sullivanland
Netherlands Antilles,Garciastad
French Polynesia,West Lisa
Tokelau,Ericmouth
Gambia,South Richardbury
Yemen,New Marychester
Uganda,Lisachester
French Guiana,Victoriabury
Belize,Barnesview
North Macedonia,New Steven
British Virgin Islands,Kington
Kenya,Lake Judy
Bahrain,Derrickfurt
Fiji,Lake Jacqueline
Luxembourg,Milesshire
Tanzania,Lake Darlenetown
Syrian Arab Republic,Erinton
Dominica,Port James
Philippines,South Robert
Hungary,New Mark
Slovenia,South Victoria
Sri Lanka,South Robertview
Greece,Marissatown
Tanzania,Barrettbury
Turkey,Nicoleburgh
Norfolk Island,Changberg
Samoa,Myersborough
Iraq,Nashhaven
Canada,Port Jonathanbury
Somalia,Michelleville
Argentina,South Patricia
Romania,New George
Heard Island and McDonald Islands,South Lindsay
Bermuda,North Desireeport
Bolivia,Lake Annaborough
Sierra Leone,West Samantha
Saint Kitts and Nevis,South Jodybury
Burundi,East Charlene
Afghanistan,Mccartyport
Canada,Willisbury
Belgium,Lake Mandyside
Timor-Leste,New Ellenburgh
Reunion,Lake Gregory
Guadeloupe,Port Alexismouth
Switzerland,South Aaron
Israel,South Michael
Lao People's Democratic Republic,Ramirezshire
Netherlands,Scottchester
Romania,New Sandra
Armenia,Lake Kellyland
Martinique,Lake Clintonshire
Chad,Snyderfurt
Malawi,Brandonville
Cuba,North James
Saint Barthelemy,South Annfurt
Uzbekistan,Williamland
Saint Lucia,South Timothyburgh
Reunion,New Jamesport
Brazil,Nicholasport
Finland,Kennedyburgh
Isle of Man,Ericview
Montserrat,Watkinsside
Denmark,Adrienneberg
Romania,Brooksview
British Virgin Islands,New Jonathan
Cuba,Rayburgh
United Arab Emirates,East Sandramouth
Vanuatu,Katherineshire
Chile,North Terristad
New Zealand,Port Kathleenport
Maldives,New Denisebury
Israel,New Sabrina
Guadeloupe,Hannahside
Vanuatu,Farrellburgh
Central African Republic,Tatemouth
Bangladesh,Hunttown
Australia,Lake Sandrafort
Tunisia,Kristinchester
United States Minor Outlying Islands,Brookston
Syrian Arab Republic,Jonesshire
Chile,Bushport
Costa Rica,Clarkfurt
Somalia,Scottton
Palestinian Territory,Carolinefort
Tonga,Chavezstad
Vietnam,West Sharon
Mexico,South James
Comoros,Port Heatherport
China,Johnsonport
Mauritius,Knoxtown
Saint Lucia,Meganport
Portugal,Lisastad
Uzbekistan,West Brandonhaven
Gambia,Josephburgh
Brazil,New Natalie
Rwanda,Stevenborough
Croatia,Lake Linda
Northern Mariana Islands,Lake Walter
Cote d'Ivoire,Moorechester
Slovakia (Slovak Republic),West Scott
Bouvet Island (Bouvetoya),West Nathan
Montserrat,West Elizabethfort
Bolivia,Townsendtown
Slovakia (Slovak Republic),East Nicole
Libyan Arab Jamahiriya,Port Kelly
Mozambique,West Katiemouth
Korea,Port Tracystad
Iran,Kimberlymouth
Estonia,Brookechester
Yemen,Jordanburgh
Saint Barthelemy,Lake Eddie
Seychelles,Hillburgh
Antigua and Barbuda,Robertborough
Antigua and Barbuda,Reyestown
Tuvalu,South Joshua
Timor-Leste,East Andreaborough
Honduras,Stewartfurt
Jordan,East Kevinmouth
Kiribati,New Ashley
Anguilla,New Kevin
Somalia,West Eric
Swaziland,Hugheshaven
Cape Verde,Ravenchester
Tunisia,Greenmouth
New Caledonia,Hutchinsonmouth
Slovakia (Slovak Republic),Melissamouth
Chad,Collinsfurt
El Salvador,Larrymouth
Sweden,West Jack
Heard Island and McDonald Islands,Samuelchester
Burundi,Dominguezside
