Dis No,Country,Region,Continent,Location,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs,Insured Damages,Total Damages
2015-0118-BGD,Bangladesh,Southern Asia,Asia,"Bogra, Rajshahi, Naogaon, Sirajganj, Pabna districts (Rajshahi province), Brahamanbaria district (Chittagong province), Dhaka districts (Dhaka province)",53.0,200.0,20000.0,,20200.0,,,4000.0
2015-0054-AFG,Afghanistan,Southern Asia,Asia,"Laghman, Nangarhar, Panjsher, Badakhshan, Bamyan provinces",254.0,,26425.0,6560.0,32985.0,,,3000.0
2015-0148-AUS,Australia,Australia and New Zealand,Oceania,"Dungog, Hunters Hill, Sydney districts (New South Wales province)",7.0,,1000.0,,1000.0,,730000.0,1300000.0
2015-0479-BHS,Bahamas (the),Caribbean,Americas,"Exuma, Long Island, Mayaguana, Rum Cay, San Salvador, Samana Cay, Crooked Isl., Ragged Islands (Administrative unit not available)",33.0,,6710.0,,6710.0,,61000.0,90000.0
2015-0090-AGO,Angola,Middle Africa,Africa,Luanda province,1.0,,2000.0,,2000.0,,,
2015-0023-ALB,Albania,Southern Europe,Europe,"Berat, Kucove, Skrapar provinces (Berat prefecture), Vlore, Delvine, Sarande provinces (Vlore prefecture), Fier, Lushnje, Mallakaster provinces (Fier prefecture) Elbasan, Gramsh, Librazhd, Peqin provinces (Elbasan prefecture) , Gjirokaster, Permet, Tepelene provinces (Gjirokaster prefecture)",,,42000.0,,42000.0,,,
2015-0253-BGD,Bangladesh,Southern Asia,Asia,"Bandarban, Chittagong, Cox's Bazar districts (Chittagong province)",20.0,20651.0,1381250.0,,1401901.0,,,40000.0
2015-0293-BGD,Bangladesh,Southern Asia,Asia,"Barisal district (Barisal province), Chittagong district (Chittagong province), Khulna district (Khulna province)",11.0,,10000.0,,10000.0,,,
2015-0346-BFA,Burkina Faso,Western Africa,Africa,"Ouagadougou, Kilwin areas (Kadiogo district, Centre province), Bobo-Dioulasso city (Houet district, Hauts-bassins province), Kenedougou, Tuy districts (Hauts-bassins province), Cascades province",8.0,54.0,28871.0,,28925.0,,,31000.0
2015-0151-AFG,Afghanistan,Southern Asia,Asia,"Geriy Bala village (Khwahan district, Badakhshan province), Abi Barik village (Argo district, Badakhshan province), Jawzjan, Faryab, Sar-e-Pul, Baghlan, Balkh provinces",52.0,,,500.0,500.0,,,
