Dis No,Year,Disaster Type
2015-0118-BGD,2015,Storm
2015-0054-AFG,2015,Landslide
2015-0148-AUS,2015,Storm
2015-0479-BHS,2015,Storm
2015-0090-AGO,2015,Flood
2015-0023-ALB,2015,Flood
2015-0253-BGD,2015,Flood
2015-0293-BGD,2015,Flood
2015-0346-BFA,2015,Flood
2015-0151-AFG,2015,Landslide
2015-0044-ARG,2015,Storm
2015-0309-BGD,2015,Storm
2015-0476-AFG,2015,Earthquake
2015-0571-AFG,2015,Earthquake
2015-0581-AFG,2015,Flood
2015-0058-AFG,2015,Landslide
2015-0059-AFG,2015,Landslide
2015-0075-AGO,2015,Flood
2015-0091-AGO,2015,Flood
2015-0579-AGO,2015,Epidemic
2015-0038-ALB,2015,Flood
2015-0542-ALB,2015,Flood
2015-0142-ARG,2015,Volcanic activity
2015-0070-ARG,2015,Flood
2015-0349-ARG,2015,Flood
2015-0551-ARG,2015,Flood
2015-0576-AUS,2015,Flood
2015-0053-AUS,2015,Storm
2015-0079-AUS,2015,Storm
2015-0135-AUS,2015,Storm
2015-0560-AUS,2015,Wildfire
2015-0010-AUS,2015,Wildfire
2015-0514-AUS,2015,Wildfire
2015-0109-BDI,2015,Landslide
2015-0578-BDI,2015,Flood
2015-0410-BEL,2015,Extreme temperature
2015-0213-BGD,2015,Storm
2015-0601-BGD,2015,Storm
2015-0144-BGD,2015,Earthquake
2015-0411-BGD,2015,Landslide
2015-0038-BGR,2015,Flood
2015-0465-BIH,2015,Flood
2015-0511-BLZ,2015,Flood
2016-0175-BGD,2016,Storm
2016-0112-AFG,2016,Flood
2016-0191-AFG,2016,Flood
2016-0201-AUS,2016,Storm
2016-0211-BEL,2016,Storm
2016-0355-BHS,2016,Storm
2016-0154-BGD,2016,Storm
2016-0135-AFG,2016,Flood
2016-0309-AFG,2016,Flood
2016-0056-AGO,2016,Flood
2016-0088-AGO,2016,Flood
2016-0131-AGO,2016,Flood
2016-0247-AGO,2016,Flood
2016-0420-ALB,2016,Flood
2016-0127-ARG,2016,Flood
2016-0482-ARM,2016,Landslide
2016-0014-AUS,2016,Wildfire
2016-0515-AUS,2016,Epidemic
2016-0428-AUS,2016,Flood
2016-0179-AUT,2016,Flood
2016-0460-BDI,2016,Epidemic
2016-0179-BEL,2016,Flood
2016-0448-BEN,2016,Epidemic
2016-0287-BFA,2016,Flood
2016-0002-BGD,2016,Earthquake
2016-0288-BGD,2016,Flood
2016-0284-BLZ,2016,Storm
2015-0248-CHN,2015,Flood
2015-0457-CHN,2015,Flood
2015-0318-MKD,2015,Flood
2015-0375-DMA,2015,Storm
2015-0126-IND,2015,Storm
